menit,pass,shoot,tackle,possession_loss
1,17,,,17
2,5,,5,5
3,"1,21",,,21
4,"21,17,15,13",,,13
4,"14,17",,,17
4,,,,3
5,"3,15",,5,15
5,"15,14",,,14
6,,,2,
6,"17,21,3,1,5,17,14,17",,,
7,"2,17,3,23",,,23
7,"14,5,17,21,3,17",,,
8,"1,5,3,5,3,13,21,",,,21
8,,17,,
9,"21,2,5",,,5
9,"17,5,23,17,21,19",19,,19
10,"5,2,19,5",,"5,5",
11,"2,5,19,23,2",,,2
11,"17,21",,,21
12,"21,17,3,1",,,1
12,"3,15,19,13",,,13
13,"21,3",,,
14,"19,17,23,3,23, 19,13",13,,
14,"19,13",13,,
15,,,,
16,"3,1,21",,,21
16,"17,14,5,17",,,
17,"21,3,1",,,1
17,"17,21,17,14,17,14,15,2, 23,2,14,19,23",,,23
17,"14,17,15",,,15
18,"1,5,3",,,
19,"17,14,5,2",,,2
19,,,21,
20,,,15,
22,"3,21",,,21
22,"19,2,14,17,1",,,1
23,3,,,3
23,21,,,21
24,"1.14,17,2.17.3,5,2,1 ",,,1
24,"2,17",,,17
25,"23,13,19,21",,,21
25,,,17,
25,"17,2,19",,,19
25,15,,,15
26,"21,17,14,19,21,15,",,,15
27,"21,19,21",,,21
27,,,15,
28,"19,14,3,5,14,3,17,3,23",,,2
28,,,15,
28,,,21,
29,,,,
30,,,,
31,"21,17,2,14, 19",,,
32,"19, 2, 14, 5, 3, 21, 3, 2",,,2
33,"19, 17, 19, 23",23,,23
34,"17, 13, 14, 5, 3, 5, 3, 5, 17, 2, 5",,,
35,"5, 2, 5, 21, 19, 21, 3, 15",,,15
35,"2, 14, 15 ,14, 3, 5, 17, 19",,,
35,"19,3,23",,,23
35,"21",,,21
36,,,21,
36,"5,17",,,17
37,"3",,,3
38,"3",,,3
38,"17, 13",,,13
39,"3,21,17,21,2,5,3,2,14",,,14
40,"14,2,1,3,5 ",,,5
41,"2,17,15",,17,
43,"14,17",,,17
43,"14, 15",,"14, 15",15
47,1,,,1
47,"14, 15, 17, 21, 3, 1",,,1
47,"14, 17, 2, 23",,,
48,"23, 17, 19, 23, 14",,,14
49,"17, 13, 19",,,19
50,,21,,
48,"5, 17",,,17
48,"2, 19, 17, 2",,,2
49,"3, 1",,,1
49,"21",,,21
50,"17, 23",,,23
50,"5",,,5
51,"11, 17, 15, 1",,14,1
52,"1, 14, 17, 14, 3, 19, 2",,,2
53,"5, 19",,,19
54,"19, 3, 5, 17, 14, 17, 3, 2, 23",,15,23
54,"3, 17",,,17
55,"5, 23",,,23
56,"2, 3, 14, 5",,,
57,"5, 1",,,1
58,"1, 23",,,23
59,"3, 1, 23",,,17
60,"1, 14, 5",,,5
60,"2,17,21,11, 19,3,11,19",,14,
61,"2,11,19,10,21,17,3,5,2,11,2,23",,,
62,,,2,
63,"3,17,11,19,2,17,2,19,2,5,3,14,17,11",,,11
64,"10,19, 17,19,21,2",2,5,19
65,,,21,
66,"21,10,",,5,
67,,,,
68,,,,
69,19,,17,
70,"1,2,17",,,
71,,,3 10,
72,"3,,21,1",,3,1
73,,,,
74,21,,19,
75,"19,9",,,9
76,"10,1,9,2",,,2
77,,,,
78,,,,
79,,,,
80,,,,
81,"1,2,9",,1,
82,,,,
83,,,,
84,"19, 14, 1, 19, 10",17,3,10
85,,,,
86,,,,
87,,,,
88,"3,1",,17,1
89,"22,17,19,10, 3,10,3,11,22",,"22, 10, 5, 3",10
90,"5,3,5,2,5,3,10,5,2,9,11,19,9,11",,22,11
91,"2,1",,2,1
92,"9,10",,9,10
93,"22,19,2,3",,,3
94,,,22,
95,"19,9,7",,"19, 22",
96,"1,2,1",,"22, 5, 5",
97,"22,17,11,10",,22,10
98,"1,3,2",,,2
99,,,,
100,,,,
101,"2,5,1 9,7,9,3,19,11",,"2, 11, 9",1
102,"19,22,2 2,17,3",,"5, 17",3
103,,,17,
